iso_code,continent,location,date,new_cases
PAN,North America,Panama,8/22/20,1088
PAN,North America,Panama,8/23/20,1420
PAN,North America,Panama,8/24/20,585
PAN,North America,Panama,8/25/20,896
PAN,North America,Panama,8/26/20,701
PAN,North America,Panama,8/27/20,900
PAN,North America,Panama,8/28/20,642
PAN,North America,Panama,8/29/20,713
PAN,North America,Panama,8/30/20,728
PAN,North America,Panama,8/31/20,917
PAN,North America,Panama,9/1/20,570
PAN,North America,Panama,9/2/20,532
PAN,North America,Panama,9/3/20,830
PAN,North America,Panama,9/4/20,682
PAN,North America,Panama,9/5/20,709
PAN,North America,Panama,9/6/20,738
PAN,North America,Panama,9/7/20,535
PAN,North America,Panama,9/8/20,829
PAN,North America,Panama,9/9/20,635
PAN,North America,Panama,9/10/20,673
PAN,North America,Panama,9/11/20,615
PAN,North America,Panama,9/12/20,711
PAN,North America,Panama,9/13/20,704
PAN,North America,Panama,9/14/20,459
PAN,North America,Panama,9/15/20,628
PAN,North America,Panama,9/16/20,634
PAN,North America,Panama,9/17/20,672
PAN,North America,Panama,9/18/20,741
PAN,North America,Panama,9/19/20,722
PAN,North America,Panama,9/20/20,602
PAN,North America,Panama,9/21/20,607
PAN,North America,Panama,9/22/20,474
PAN,North America,Panama,9/23/20,706
PAN,North America,Panama,9/24/20,736
PAN,North America,Panama,9/25/20,705
PAN,North America,Panama,9/26/20,677
PAN,North America,Panama,9/27/20,447
PAN,North America,Panama,9/28/20,722
PAN,North America,Panama,9/29/20,576
PAN,North America,Panama,9/30/20,742
PAN,North America,Panama,10/1/20,747
PAN,North America,Panama,10/2/20,620
PAN,North America,Panama,10/3/20,691
PAN,North America,Panama,10/4/20,633
PAN,North America,Panama,10/5/20,633
PAN,North America,Panama,10/6/20,683
PAN,North America,Panama,10/7/20,698
PAN,North America,Panama,10/8/20,754
PAN,North America,Panama,10/9/20,787
PAN,North America,Panama,10/10/20,825
PAN,North America,Panama,10/11/20,647
PAN,North America,Panama,10/12/20,489
PAN,North America,Panama,10/13/20,494
PAN,North America,Panama,10/14/20,832
PAN,North America,Panama,10/15/20,755
PAN,North America,Panama,10/16/20,615
PAN,North America,Panama,10/17/20,609
PAN,North America,Panama,10/18/20,638
PAN,North America,Panama,10/19/20,436
PAN,North America,Panama,10/20/20,558
PAN,North America,Panama,10/21/20,696
PAN,North America,Panama,10/22/20,792
PAN,North America,Panama,10/23/20,639
PAN,North America,Panama,10/24/20,649
PAN,North America,Panama,10/25/20,685
PAN,North America,Panama,10/26/20,551
PAN,North America,Panama,10/27/20,671
PAN,North America,Panama,10/28/20,825
PAN,North America,Panama,10/29/20,798
PAN,North America,Panama,10/30/20,822
PAN,North America,Panama,10/31/20,731
PAN,North America,Panama,11/1/20,738
PAN,North America,Panama,11/2/20,579
PAN,North America,Panama,11/3/20,677
PAN,North America,Panama,11/4/20,432
PAN,North America,Panama,11/5/20,543
PAN,North America,Panama,11/6/20,1193
PAN,North America,Panama,11/7/20,746
PAN,North America,Panama,11/8/20,1021
PAN,North America,Panama,11/9/20,804
PAN,North America,Panama,11/10/20,971
PAN,North America,Panama,11/11/20,1163
PAN,North America,Panama,11/12/20,887
PAN,North America,Panama,11/13/20,1125
PAN,North America,Panama,11/14/20,832
PAN,North America,Panama,11/15/20,1344
PAN,North America,Panama,11/16/20,1014
PAN,North America,Panama,11/17/20,1054
PAN,North America,Panama,11/18/20,1112
PAN,North America,Panama,11/19/20,1256
PAN,North America,Panama,11/20/20,1200
PAN,North America,Panama,11/21/20,1288
PAN,North America,Panama,11/22/20,1206
PAN,North America,Panama,11/23/20,875
PAN,North America,Panama,11/24/20,1272
PAN,North America,Panama,11/25/20,1602
PAN,North America,Panama,11/26/20,1755
PAN,North America,Panama,11/27/20,1457
PAN,North America,Panama,11/28/20,1709
PAN,North America,Panama,11/29/20,1276
PAN,North America,Panama,11/30/20,1077
PAN,North America,Panama,12/1/20,1505
PAN,North America,Panama,12/2/20,2028
PAN,North America,Panama,12/3/20,1880
PAN,North America,Panama,12/4/20,2388
PAN,North America,Panama,12/5/20,2300
